site,title,url,pv,store
天猫,"

			安盛天平财产保险-安盛天平财产保险旗舰店-天猫Tmall.com

	",http://95550.tmall.com/,993,安盛天平财产保险旗舰店
天猫,"

			2014.11月新首页-三彩官方旗舰店-天猫Tmall.com

	",http://threecolour.tmall.com/,993,三彩官方旗舰店
天猫,"

			首页-yoomito旗舰店-天猫Tmall.com

	",http://yoomito.tmall.com/,988,yoomito旗舰店
天猫,七夕狂欢 服饰夏清仓1折起-尚天猫，就购了    ,http://7xi.tmall.com/,972,
天猫,"

			首页-真维斯官方旗舰店-天猫Tmall.com

	",http://jeanswest.tmall.com/,969,真维斯官方旗舰店
天猫,"

			首页-fiveplus官方旗舰店-天猫Tmall.com

	",http://fiveplus.tmall.com/,961,fiveplus官方旗舰店
天猫,"

			BASIC HOUSE 终极秒杀-BASICHOUSE官方旗舰-天猫Tmall.com

	",http://basichouse.tmall.com/,957,BASICHOUSE官方旗舰
天猫,天猫规则首页-天猫Tmall.com-上天猫，就购了,http://guize.tmall.com/,956,
天猫,"

			首页-朗酷车品专营店-天猫Tmall.com

	",http://langkucp.tmall.com/,954,朗酷车品专营店
天猫,"

			首页-车煜车品专营店-天猫Tmall.com

	",http://cheyucp.tmall.com/,953,车煜车品专营店
天猫,"

			活动专区-上迪鞋类专营店-天猫Tmall.com

	",http://sdxl.tmall.com/,953,上迪鞋类专营店
天猫,"

			2014冬装新品发布-tunetune旗舰店-天猫Tmall.com

	",http://tunetune.tmall.com/,951,tunetune旗舰店
天猫,"

			首页-上海故事服饰专营店-天猫Tmall.com

	",http://shgsfs.tmall.com/,949,上海故事服饰专营店
天猫,"

			首页-欧莱雅官方旗舰店-天猫Tmall.com

	",http://loreal.tmall.com/,931,欧莱雅官方旗舰店
天猫,"

			首页-李宁官方网店-天猫Tmall.com

	",http://lining.tmall.com/,926,李宁官方网店
天猫,"

			首页-SELECTED官方旗舰店-天猫Tmall.com

	",http://selected.tmall.com/,922,SELECTED官方旗舰店
天猫,家装频道首页-尚天猫，就购了    ,http://jia.tmall.com/,921,
天猫,-尚天猫，就购了 ,http://marketing.tmall.com/,920,
天猫,"

			首页-太平鸟男装旗舰店-天猫Tmall.com

	",http://peacebird.tmall.com/,916,太平鸟男装旗舰店
天猫,"

			寻光特辑1201-AMH官方旗舰店-天猫Tmall.com

	",http://amh.tmall.com/,914,AMH官方旗舰店
天猫,"

			LA-11.24新品发布-ladyangel旗舰店-天猫Tmall.com

	",http://ladyangel.tmall.com/,913,11.24新品发布-ladyangel旗舰店
天猫,"

			店铺浏览-淘宝网

		",http://static.tmall.com/,912,
天猫,"

			首页-铂金世家地板旗舰店-天猫Tmall.com

	",http://bojinshijiadiban.tmall.com/,911,铂金世家地板旗舰店
天猫,"

			首页-othermix旗舰店-天猫Tmall.com

	",http://othermix.tmall.com/,909,othermix旗舰店
天猫,"

			lily旗舰店冬季-lily旗舰店-天猫Tmall.com

	",http://lilyfs.tmall.com/,908,lily旗舰店
天猫,"

			首页-pullandbear官方旗舰店-天猫Tmall.com

	",http://pullandbear.tmall.com/,907,pullandbear官方旗舰店
天猫,"

			首页-MANGO旗舰店-天猫Tmall.com

	",http://mango.tmall.com/,900,MANGO旗舰店
天猫,"

			首页-史泰博旗舰店-天猫Tmall.com

	",http://staples.tmall.com/,900,史泰博旗舰店
天猫,"

			首页-得强酒类专营店-天猫Tmall.com

	",http://dqjl.tmall.com/,896,得强酒类专营店
天猫,"

			首页-osa品牌服饰旗舰店-天猫Tmall.com

	",http://osa.tmall.com/,886,osa品牌服饰旗舰店
天猫,"

			首页-shinena夏娜旗舰店-天猫Tmall.com

	",http://shinena.tmall.com/,883,shinena夏娜旗舰店
天猫,"

			首页-马克华菲官方旗舰店-天猫Tmall.com

	",http://fairwhale.tmall.com/,881,马克华菲官方旗舰店
天猫,"

			首页-博柏利官方旗舰店-天猫Tmall.com

	",http://burberry.tmall.com/,879,博柏利官方旗舰店
天猫,"

			首页-rio锐澳旗舰店-天猫Tmall.com

	",http://ruiao.tmall.com/,876,rio锐澳旗舰店
天猫,"

			首页-innisfree官方旗舰店-天猫Tmall.com

	",http://innisfree.tmall.com/,869,innisfree官方旗舰店
天猫,"

			首页-rusuoo旗舰店-天猫Tmall.com

	",http://rusuoo.tmall.com/,859,rusuoo旗舰店
天猫,"

			首页-Levi's官方旗舰店-天猫Tmall.com

	",http://levis.tmall.com/,858,Levi's官方旗舰店
天猫,"

			首页-olrain旗舰店-天猫Tmall.com

	",http://olrain.tmall.com/,857,olrain旗舰店
天猫,-尚天猫，就购了    ,http://item.tmall.com/,855,
天猫,"

			首页-中国平安官方旗舰店-天猫Tmall.com

	",http://pingan.tmall.com/,855,中国平安官方旗舰店
天猫,首页-英特尔品牌站-天猫Tmall.com-上天猫，就购了,http://intel-brand.tmall.com/,849,英特尔品牌站
天猫,"

			首页-locaer旗舰店-天猫Tmall.com

	",http://locaer.tmall.com/,848,locaer旗舰店
天猫,"

			首页-惯惯母婴专营店-天猫Tmall.com

	",http://ggmuying.tmall.com/,838,惯惯母婴专营店
天猫,"

			首页-Apple Store 官方旗舰店-天猫Tmall.com

	",http://apple.tmall.com/,835,Apple Store 官方旗舰店
天猫,"

			首页-CONVERSE官方旗舰店-天猫Tmall.com

	",http://converse.tmall.com/,814,CONVERSE官方旗舰店
天猫,"

			首页-飞利浦荷洋专卖店-天猫Tmall.com

	",http://philipshy.tmall.com/,814,飞利浦荷洋专卖店
天猫,"

			首页-来伊份官方旗舰店-天猫Tmall.com

	",http://laiyifen.tmall.com/,811,来伊份官方旗舰店
天猫,"

			首页-天堂伞官方旗舰店-天猫Tmall.com

	",http://tiantangsan.tmall.com/,811,天堂伞官方旗舰店
天猫,"

			首页-TeenieWeenie官方旗舰店-天猫Tmall.com

	",http://teenieweenie.tmall.com/,809,TeenieWeenie官方旗舰店
天猫,"

			红火鸟双十一活动-红火鸟上迪专卖店-天猫Tmall.com

	",http://redesssd.tmall.com/,807,红火鸟上迪专卖店
天猫,-尚天猫，就购了    ,http://dianqi.tmall.com/,806,
天猫,"

			首页-moco官方旗舰店-天猫Tmall.com

	",http://moco.tmall.com/,803,moco官方旗舰店
天猫,"

			首页-车泓车品专营店-天猫Tmall.com

	",http://chehongcp.tmall.com/,800,车泓车品专营店
天猫,"

			首页-公牛电器旗舰店-天猫Tmall.com

	",http://gongniu.tmall.com/,800,公牛电器旗舰店
天猫,物流服务首页-天猫Tmall.com-上天猫，就购了,http://e56.tmall.com/,798,
天猫,"

			首页-秋水伊人官方旗舰店-天猫Tmall.com

	",http://qiushuiyiren.tmall.com/,798,秋水伊人官方旗舰店
天猫,"

			首页-lagogo服饰旗舰店-天猫Tmall.com

	",http://lagogo.tmall.com/,796,lagogo服饰旗舰店
天猫,"

			首页-潘朵拉神秘恋人旗舰店-天猫Tmall.com

	",http://pdlsmlr.tmall.com/,792,潘朵拉神秘恋人旗舰店
天猫,"

			首页-曼妮芬官方旗舰店-天猫Tmall.com

	",http://maniform.tmall.com/,782,曼妮芬官方旗舰店
天猫,"

			首页-小欢园玩具专营店-天猫Tmall.com

	",http://xhywj.tmall.com/,782,小欢园玩具专营店
天猫,"

			首页-空中网旗舰店-天猫Tmall.com

	",http://kongzhong.tmall.com/,773,空中网旗舰店
天猫,"

			首页-七匹狼官方旗舰店-天猫Tmall.com

	",http://septwolves.tmall.com/,770,七匹狼官方旗舰店
天猫,"

			首页-高露洁棕榄官方旗舰店-天猫Tmall.com

	",http://colgate.tmall.com/,769,高露洁棕榄官方旗舰店
天猫,Index,http://fwfront.tmall.com/,767,
天猫,"

			首页-联新办公专营店-天猫Tmall.com

	",http://lianxinbg.tmall.com/,760,联新办公专营店
天猫,"

			首页-华道图书专营店-天猫Tmall.com

	",http://huadaots.tmall.com/,759,华道图书专营店
天猫,"

			首页-卓诗尼旗舰店-天猫Tmall.com

	",http://josiny.tmall.com/,747,卓诗尼旗舰店
天猫,"

			首页-周黑鸭食品旗舰店-天猫Tmall.com

	",http://zhouheiya.tmall.com/,746,周黑鸭食品旗舰店
天猫,"

			VOA新版首页-voa旗舰店-天猫Tmall.com

	",http://voa.tmall.com/,741,voa旗舰店
天猫,"

			首页-佐丹奴官方旗舰店-天猫Tmall.com

	",http://giordano.tmall.com/,732,佐丹奴官方旗舰店
天猫,"

			首页-新益号茶叶旗舰店-天猫Tmall.com

	",http://xinyihao.tmall.com/,724,新益号茶叶旗舰店
天猫,"

			常规首页-古今内衣官方旗舰店-天猫Tmall.com

	",http://gujin.tmall.com/,719,古今内衣官方旗舰店
